ID,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
48928,85.5,0,0,0,5/04/16
48929,77.6,0,0,0,6/04/16
48930,112.58,0,0,1,5/03/16
48931,85.85,0,0,1,26/01/16
48932,72.25,0,0,0,6/04/16
48933,59.37,0,0,0,6/04/16
48934,120,0,0,1,30/03/16
48935,125.63,0,1,1,27/02/16
48936,82.45,0,2,1,22/12/15
48937,80.75,0,2,1,5/03/16
48938,81.25,0,1,1,29/03/16
48939,62.37,0,0,0,8/04/16
48940,74.89,0,0,0,9/04/16
48941,74.89,0,0,0,9/04/16
48942,96.3,0,0,1,18/02/16
48943,96.3,0,0,2,3/04/16
48944,76.5,0,0,1,30/01/16
48945,150.3,0,0,1,4/03/16
48946,89,0,0,1,18/03/16
48947,101,0,0,1,20/03/16
48948,81.9,0,0,1,19/01/16
48949,89,0,1,1,3/04/16
48950,101,0,0,1,27/03/16
48951,87.3,0,1,1,28/12/15
48952,87.3,0,0,1,22/01/16
48953,44.6,0,0,1,3/04/16
48954,85.5,0,1,1,25/02/16
48955,159.3,0,0,1,21/03/16
48956,96.3,0,0,1,17/02/16
48957,128.7,0,1,1,22/02/16
48958,76.5,0,0,1,22/01/16
48959,76.5,0,0,1,22/01/16
48960,85.5,0,0,1,30/03/16
48961,100.8,0,0,1,24/01/16
48962,76.5,0,0,1,22/01/16
48963,87.3,0,1,1,28/12/15
48964,76.5,0,0,0,6/04/16
48965,72,0,0,2,3/04/16
48966,72.25,0,0,1,22/01/16
48967,82.45,0,1,0,7/04/16
48968,72.25,0,0,0,7/04/16
48969,150.45,0,2,0,7/04/16
48970,72.25,0,0,1,22/01/16
48971,82.45,0,1,0,7/04/16
48972,73.9,0,0,1,3/04/16
48973,95.94,0,0,0,8/04/16
48974,95.94,0,0,0,8/04/16
48975,83.87,0,1,0,9/04/16
48976,95.2,0,0,1,16/01/16
48977,203.76,0,0,1,23/03/16
48978,89,0,0,2,4/04/16
48979,107.1,0,0,1,2/03/16
48980,107.1,0,0,1,18/02/16
48981,107.1,0,1,1,2/04/16
48982,107.1,0,1,1,30/03/16
48983,89,0,0,1,22/03/16
48984,81.9,0,1,1,22/01/16
48985,80,0,0,1,4/02/16
48986,80,0,0,1,4/02/16
48987,80,0,0,1,4/02/16
48988,96.3,0,0,0,7/04/16
48989,80,0,0,1,4/02/16
48990,70,0,0,1,4/02/16
48991,80,0,0,1,4/02/16
48992,80,0,0,1,4/02/16
48993,80,0,0,1,4/02/16
48994,70,0,0,1,4/02/16
48995,80,0,0,1,4/02/16
48996,80,0,0,1,4/02/16
48997,80,0,0,1,4/02/16
48998,85.5,0,0,1,9/03/16
48999,80,0,0,1,4/02/16
49000,80,0,0,1,4/02/16
49001,80,0,0,1,4/02/16
49002,80,0,0,1,4/02/16
49003,80,0,0,1,4/02/16
49004,80,0,0,1,4/02/16
49005,80,0,0,1,4/02/16
49006,80,0,0,1,4/02/16
49007,80,0,0,1,4/02/16
49008,6,0,1,1,28/03/16
49009,80,0,0,1,4/02/16
49010,96.5,0,1,1,28/03/16
49011,82.45,0,1,0,8/04/16
49012,63.49,0,2,0,8/04/16
49013,112.2,0,0,1,14/02/16
49014,95,0,0,2,4/04/16
49015,82.45,0,1,0,8/04/16
49016,73.74,0,0,0,8/04/16
49017,73.74,0,0,0,8/04/16
49018,82.45,0,0,0,8/04/16
49019,82.45,0,1,0,8/04/16
49020,80.75,0,0,1,28/01/16
49021,131.4,0,0,1,30/03/16
49022,126.75,0,0,1,1/04/16
49023,126.75,0,0,1,1/04/16
49024,126.75,0,0,1,1/04/16
49025,132,0,0,1,21/03/16
49026,96.62,0,1,1,25/01/16
49027,95,0,0,0,6/04/16
49028,96,0,0,1,19/01/16
49029,96,0,0,1,19/01/16
49030,96,0,0,1,19/01/16
49031,96,0,0,1,19/01/16
49032,96,0,0,1,19/01/16
49033,96,0,0,1,19/01/16
49034,96,0,0,1,19/01/16
49035,96,0,0,1,19/01/16
49036,96,0,0,1,19/01/16
49037,96,0,0,1,19/01/16
49038,72.8,0,0,1,10/01/16
49039,96,0,0,1,19/01/16
49040,96,0,0,1,19/01/16
49041,96,0,0,1,19/01/16
49042,96,0,0,1,19/01/16
49043,96,0,0,1,19/01/16
49044,96,0,0,1,19/01/16
49045,81.9,0,0,1,1/01/16
49046,95,0,0,1,1/04/16
49047,96,0,0,1,19/01/16
49048,90.63,0,0,0,8/04/16
49049,129.33,0,0,1,29/03/16
49050,90.9,0,0,0,8/04/16
49051,131.4,0,0,1,28/03/16
49052,97.33,0,0,1,18/03/16
49053,94.86,0,0,1,22/03/16
49054,94.86,0,0,0,9/04/16
49055,93.08,0,1,0,9/04/16
49056,130.05,0,0,1,14/03/16
49057,84.58,0,1,0,9/04/16
49058,84.58,0,1,0,9/04/16
49059,90.95,0,0,1,16/03/16
49060,75,0,0,1,18/01/16
49061,75,0,0,1,18/01/16
49062,75,0,0,1,18/01/16
49063,75,0,0,1,18/01/16
49064,75,0,0,1,18/01/16
49065,75,0,0,1,18/01/16
49066,75,0,0,1,18/01/16
49067,75,0,0,1,18/01/16
49068,75,0,0,1,18/01/16
49069,75,0,0,1,18/01/16
49070,75,0,0,1,18/01/16
49071,75,0,0,1,18/01/16
49072,75,0,0,1,18/01/16
49073,75,0,0,1,18/01/16
49074,75,0,0,1,18/01/16
49075,75,0,0,1,18/01/16
49076,75,0,0,1,18/01/16
49077,75,0,0,1,18/01/16
49078,75,0,0,1,18/01/16
49079,75,0,0,1,18/01/16
49080,80,0,0,1,28/03/16
49081,75,0,0,1,18/01/16
49082,75,0,0,1,18/01/16
49083,75,0,0,1,18/01/16
49084,75,0,0,1,18/01/16
49085,75,0,0,1,18/01/16
49086,75,0,0,1,18/01/16
49087,75,0,0,1,18/01/16
49088,75,0,0,1,18/01/16
49089,75,0,0,1,18/01/16
49090,75,0,0,1,18/01/16
49091,75,0,0,1,18/01/16
49092,75,0,0,1,18/01/16
49093,75,0,0,1,18/01/16
49094,75,0,0,1,18/01/16
49095,80,0,0,1,28/03/16
49096,0,0,0,1,28/03/16
49097,80,0,0,1,28/03/16
49098,189.9,0,0,1,12/03/16
49099,75,0,0,1,18/01/16
49100,75,0,0,1,18/01/16
49101,75,0,0,1,18/01/16
49102,75,0,0,1,18/01/16
49103,75,0,0,1,18/01/16
49104,75,0,0,1,18/01/16
49105,75,0,0,1,18/01/16
49106,75,0,0,1,18/01/16
49107,75,0,0,1,18/01/16
49108,75,0,0,1,18/01/16
49109,75,0,0,1,18/01/16
49110,75,0,0,1,18/01/16
49111,75,0,0,1,18/01/16
49112,75,0,0,1,18/01/16
49113,75,0,0,1,18/01/16
49114,75,0,0,1,18/01/16
49115,75,0,0,1,18/01/16
49116,104,0,0,1,4/04/16
49117,156,0,0,2,6/04/16
49118,75,0,0,1,18/01/16
49119,75,0,0,1,18/01/16
49120,75,0,0,1,18/01/16
49121,75,0,0,1,18/01/16
49122,75,0,0,1,18/01/16
49123,75,0,0,1,18/01/16
49124,75,0,0,1,18/01/16
49125,75,0,0,1,18/01/16
49126,75,0,0,1,18/01/16
49127,75,0,0,1,18/01/16
49128,75,0,0,1,18/01/16
49129,104,0,0,1,4/04/16
49130,76.5,0,1,0,7/04/16
49131,75,0,0,1,18/01/16
49132,75,0,0,1,18/01/16
49133,75,0,0,1,18/01/16
49134,62.86,0,0,0,8/04/16
49135,62.86,0,0,0,8/04/16
49136,107,0,1,1,20/01/16
49137,167,0,0,1,21/03/16
49138,118.33,0,1,2,6/04/16
49139,128.7,0,0,1,10/03/16
49140,112.5,0,1,1,11/02/16
49141,90.3,0,1,0,9/04/16
49142,79.5,0,0,1,4/01/16
49143,90.3,0,1,0,9/04/16
49144,112.2,0,1,1,21/03/16
49145,133.5,0,0,1,25/03/16
49146,84.58,0,0,1,16/02/16
49147,85,0,0,1,28/03/16
49148,76.5,0,0,0,10/04/16
49149,95.2,0,0,1,11/01/16
49150,69.64,0,0,0,10/04/16
49151,96.05,0,0,0,11/04/16
49152,96.05,0,0,0,11/04/16
49153,99.45,0,0,1,9/03/16
49154,133.2,0,0,1,4/04/16
49155,75.89,0,0,0,13/04/16
49156,112.5,0,0,1,16/03/16
49157,6,0,0,1,21/10/15
49158,6,0,0,1,21/10/15
49159,99.9,0,0,1,28/03/16
49160,101,0,0,1,4/04/16
49161,62,0,0,1,21/10/15
49162,62,0,0,1,21/10/15
49163,62,0,0,1,21/10/15
49164,62,0,0,1,21/10/15
49165,62,0,0,1,21/10/15
49166,62,0,0,1,21/10/15
49167,62,0,0,1,21/10/15
49168,62,0,0,1,21/10/15
49169,62,0,0,1,21/10/15
49170,62,0,0,1,21/10/15
49171,62,0,0,1,21/10/15
49172,62,0,0,1,21/10/15
49173,62,0,0,1,21/10/15
49174,62,0,0,1,21/10/15
49175,62,0,0,1,21/10/15
49176,62,0,0,1,21/10/15
49177,76.5,0,0,1,14/01/16
49178,62,0,0,1,21/10/15
49179,62,0,0,1,21/10/15
49180,62,0,0,1,21/10/15
49181,62,0,0,1,21/10/15
49182,62,0,0,1,21/10/15
49183,62,0,0,1,21/10/15
49184,62,0,0,1,21/10/15
49185,62,0,0,1,21/10/15
49186,90.9,0,0,1,8/02/16
49187,62,0,0,1,21/10/15
49188,62,0,0,1,21/10/15
49189,95,0,0,1,2/04/16
49190,76.5,0,0,1,14/01/16
49191,62,0,0,1,21/10/15
49192,62,0,0,1,21/10/15
49193,62,0,0,1,21/10/15
49194,62,0,0,1,21/10/15
49195,162.3,0,0,1,8/03/16
49196,99.3,0,0,1,8/03/16
49197,126,0,0,1,24/03/16
49198,111,0,0,1,30/03/16
49199,126,0,0,1,24/03/16
49200,93.3,0,1,0,10/04/16
49201,99.3,0,0,1,8/03/16
49202,137.7,0,0,1,29/01/16
49203,118.8,0,0,1,3/02/16
49204,80.75,0,0,2,7/04/16
49205,127.5,0,0,1,22/03/16
49206,125.2,0,0,1,27/03/16
49207,137.7,0,0,1,27/03/16
49208,107.1,0,0,1,27/02/16
49209,127.5,0,0,1,22/03/16
49210,125.2,0,0,1,27/03/16
49211,89.74,0,0,0,14/04/16
49212,75.89,0,1,1,5/01/16
49213,199.4,0,0,2,7/04/16
49214,45,0,0,0,9/04/16
49215,89,0,0,2,8/04/16
49216,90.9,0,1,1,17/03/16
49217,99.9,1,1,0,9/04/16
49218,85.5,0,0,1,25/01/16
49219,90.9,0,0,1,15/02/16
49220,137.7,0,0,1,20/02/16
49221,89,0,0,1,31/03/16
49222,89,0,0,1,22/03/16
49223,85.5,0,0,1,31/03/16
49224,96.3,0,2,0,10/04/16
49225,65,0,0,1,31/03/16
49226,85.5,0,1,1,15/03/16
49227,85.6,0,1,1,10/02/16
49228,65,0,0,1,31/03/16
49229,65,0,0,1,31/03/16
49230,85.5,0,0,1,31/03/16
49231,96.3,0,1,0,10/04/16
49232,65,0,0,1,31/03/16
49233,65,0,0,1,31/03/16
49234,65.83,0,1,0,10/04/16
49235,131,0,1,1,5/04/16
49236,85.5,0,1,1,15/03/16
49237,173,0,2,1,29/03/16
49238,65,0,0,1,31/03/16
49239,65,0,0,1,31/03/16
49240,196,0,0,1,3/04/16
49241,65,0,0,1,31/03/16
49242,112.5,0,0,1,25/03/16
49243,72.25,0,1,1,29/02/16
49244,96.3,0,0,1,1/03/16
49245,116.33,0,0,1,3/04/16
49246,118.8,0,1,1,7/02/16
49247,96.13,0,1,0,12/04/16
49248,90.95,0,0,1,3/04/16
49249,83.25,0,0,1,6/04/16
49250,88.83,0,1,0,12/04/16
49251,88.83,0,0,0,12/04/16
49252,148.5,0,0,1,3/04/16
49253,90.95,0,0,1,13/03/16
49254,112.2,0,0,1,4/03/16
49255,75,0,1,2,8/04/16
49256,90.95,0,0,1,29/03/16
49257,87.55,0,1,0,13/04/16
49258,90.95,0,0,1,19/01/16
49259,78,0,0,1,29/03/16
49260,87.55,0,1,0,13/04/16
49261,78,0,0,1,29/03/16
49262,78,0,0,0,13/04/16
49263,78,0,0,1,29/03/16
49264,131.2,0,0,1,23/03/16
49265,0,0,0,1,29/03/16
49266,78,0,0,1,29/03/16
49267,78,0,0,1,29/03/16
49268,86.09,0,1,0,15/04/16
49269,112.2,0,0,1,13/02/16
49270,80.75,0,0,1,22/01/16
49271,200.75,0,0,1,30/03/16
49272,78,0,0,0,13/04/16
49273,78,0,0,1,29/03/16
49274,78,0,0,0,13/04/16
49275,78,0,0,0,13/04/16
49276,96.3,0,0,0,10/04/16
49277,137.7,0,0,1,3/02/16
49278,139,0,0,1,23/03/16
49279,105.3,0,0,1,17/03/16
49280,70,0,0,1,4/04/16
49281,90,0,0,1,6/04/16
49282,96.3,0,1,1,31/03/16
49283,0,0,1,1,30/03/16
49284,117,0,2,1,5/04/16
49285,82.5,0,0,0,12/04/16
49286,93.3,0,0,0,12/04/16
49287,93.3,0,0,0,12/04/16
49288,86.62,0,1,1,30/03/16
49289,86.7,0,1,1,10/01/16
49290,107.95,0,1,1,1/03/16
49291,76.5,0,1,1,4/01/16
49292,76.5,0,1,1,4/01/16
49293,158.2,0,0,1,22/03/16
49294,129.2,0,0,1,28/03/16
49295,85.28,0,2,0,15/04/16
49296,159,0,0,1,7/04/16
49297,41.76,0,1,2,9/04/16
49298,94.35,0,1,0,14/04/16
49299,138,0,0,1,7/04/16
49300,70.99,0,2,0,16/04/16
49301,85.5,0,0,1,24/03/16
49302,118.8,0,0,1,19/03/16
49303,106,0,0,1,5/04/16
49304,100,0,0,1,22/02/16
49305,137.7,0,0,1,9/03/16
49306,100,0,0,1,22/02/16
49307,100,0,0,1,22/02/16
49308,134,0,2,2,10/04/16
49309,121.8,0,1,0,13/04/16
49310,94.5,0,1,1,31/03/16
49311,100,0,0,1,22/02/16
49312,82.5,0,0,1,14/01/16
49313,100,0,0,1,22/02/16
49314,98,0,0,1,20/03/16
49315,153,0,0,1,16/03/16
49316,112.2,0,0,1,28/02/16
49317,76.93,0,0,0,14/04/16
49318,100,0,0,1,22/02/16
49319,135,0,0,1,8/04/16
49320,93.08,0,3,1,9/04/16
49321,106,0,3,0,14/04/16
49322,157.4,0,2,2,10/04/16
49323,84.15,0,1,0,15/04/16
49324,120.27,0,0,1,29/03/16
49325,131.58,0,0,1,2/03/16
49326,112.2,0,0,1,25/02/16
49327,113.52,0,0,1,2/03/16
49328,90.95,0,1,0,15/04/16
49329,113.62,0,0,1,24/03/16
49330,93.78,0,1,1,6/01/16
49331,113.62,0,0,1,24/03/16
49332,167.45,0,1,1,16/03/16
49333,93.78,0,1,1,6/01/16
49334,128,0,0,1,5/04/16
49335,138,0,0,2,10/04/16
49336,127.97,0,1,2,10/04/16
49337,121.5,0,0,1,3/04/16
49338,76.22,0,1,0,12/04/16
49339,89,0,0,1,11/04/16
49340,95,0,0,1,2/04/16
49341,95,0,0,1,7/04/16
49342,105.3,0,0,1,26/03/16
49343,196,0,0,1,23/03/16
49344,105.3,0,0,1,28/03/16
49345,94.5,0,1,1,14/03/16
49346,94.5,0,0,2,11/04/16
49347,87.3,0,1,0,14/04/16
49348,85.6,0,0,0,14/04/16
49349,85.5,0,1,1,29/01/16
49350,137.7,0,1,1,25/03/16
49351,68.2,0,0,0,14/04/16
49352,94.5,0,0,1,13/03/16
49353,105.3,0,0,1,19/02/16
49354,103.6,1,0,0,14/04/16
49355,80.75,0,1,0,15/04/16
49356,99.45,0,0,1,7/04/16
49357,89.25,0,0,1,7/03/16
49358,82.45,0,0,1,29/02/16
49359,108.5,0,0,1,18/03/16
49360,123.5,0,0,1,18/03/16
49361,76.58,0,0,1,11/02/16
49362,99.45,0,0,1,7/04/16
49363,99.45,0,1,1,11/04/16
49364,116,0,0,1,11/04/16
49365,130.05,0,0,1,24/02/16
49366,142.78,0,0,1,22/03/16
49367,111.4,0,0,1,28/03/16
49368,90.95,0,0,1,26/02/16
49369,90.95,0,0,2,11/04/16
49370,65.67,0,1,0,17/04/16
49371,99.45,0,0,1,14/03/16
49372,99.9,0,0,1,21/03/16
49373,95,0,0,1,11/04/16
49374,99.9,0,0,1,21/03/16
49375,99.9,0,0,1,21/03/16
49376,99.9,0,0,1,21/03/16
49377,99.9,0,0,1,21/03/16
49378,99.9,0,0,1,21/03/16
49379,65,0,0,2,12/04/16
49380,99.9,0,0,1,21/03/16
49381,99.9,0,0,1,21/03/16
49382,99.9,0,0,1,21/03/16
49383,99.9,0,0,1,21/03/16
49384,137.7,0,0,1,15/03/16
49385,99.9,0,0,1,21/03/16
49386,99.9,0,0,1,21/03/16
49387,99.9,0,0,1,21/03/16
49388,99,0,1,1,24/03/16
49389,111.15,0,0,1,18/03/16
49390,85.5,0,1,1,26/01/16
49391,105.3,0,0,1,2/04/16
49392,117.67,0,0,1,2/04/16
49393,62.86,0,0,0,15/04/16
49394,106.2,0,2,1,11/01/16
49395,94.5,0,0,1,5/04/16
49396,177.3,0,1,1,23/02/16
49397,94.5,0,0,1,11/03/16
49398,98,0,0,1,3/04/16
49399,106.2,0,2,1,11/01/16
49400,107,0,0,2,12/04/16
49401,80.75,0,0,1,28/01/16
49402,62.18,0,0,1,30/01/16
49403,80.75,0,1,0,16/04/16
49404,81.5,0,1,0,17/04/16
49405,99.45,0,0,0,17/04/16
49406,143.6,0,0,2,12/04/16
49407,99.45,0,0,1,17/01/16
49408,136,0,1,1,13/02/16
49409,82.13,0,0,0,17/04/16
49410,54.06,0,0,0,18/04/16
49411,93.38,0,0,0,19/04/16
49412,95,0,0,2,12/04/16
49413,66.76,0,0,1,8/03/16
49414,147,0,0,1,1/04/16
49415,89,0,0,2,13/04/16
49416,90,0,0,1,6/04/16
49417,105.3,0,0,1,16/02/16
49418,105.3,0,0,1,16/02/16
49419,117,0,0,1,23/03/16
49420,96.3,0,1,1,16/03/16
49421,93.9,0,0,0,16/04/16
49422,108.3,0,0,1,12/03/16
49423,90.3,0,0,0,16/04/16
49424,140.7,0,0,1,12/03/16
49425,143.33,0,0,1,4/04/16
49426,116,0,0,1,9/04/16
49427,80.75,0,0,1,3/04/16
49428,90.95,0,1,0,17/04/16
49429,99,0,0,1,19/03/16
49430,144.5,0,2,1,16/02/16
49431,99,0,0,1,19/03/16
49432,154.7,0,1,1,13/03/16
49433,170.85,0,0,1,8/03/16
49434,90.95,0,0,1,27/01/16
49435,90.95,0,0,1,27/01/16
49436,130,0,0,1,6/04/16
49437,74.15,0,0,1,28/03/16
49438,94.5,0,0,1,28/03/16
49439,131.6,0,0,1,9/04/16
49440,59,0,0,1,21/10/15
49441,62,0,0,1,21/10/15
49442,62,0,0,1,21/10/15
49443,62,0,0,1,21/10/15
49444,62,0,0,1,21/10/15
49445,145,0,0,1,2/04/16
49446,62,0,0,1,21/10/15
49447,62,0,0,1,21/10/15
49448,62,0,0,1,21/10/15
49449,123.3,0,0,1,20/03/16
49450,62,0,0,1,21/10/15
49451,62,0,0,1,21/10/15
49452,62,0,0,1,21/10/15
49453,131.6,0,0,1,9/04/16
49454,74.15,0,0,1,29/03/16
49455,142,0,0,1,29/03/16
49456,94.5,0,0,1,28/03/16
49457,90.9,0,1,2,14/04/16
49458,62,0,0,1,21/10/15
49459,62,0,0,1,21/10/15
49460,62,0,0,1,21/10/15
49461,62,0,0,1,21/10/15
49462,62,0,0,1,21/10/15
49463,62,0,0,1,21/10/15
49464,62,0,0,1,21/10/15
49465,62,0,0,1,21/10/15
49466,62,0,0,1,21/10/15
49467,62,0,0,1,21/10/15
49468,62,0,0,1,21/10/15
49469,62,0,0,1,21/10/15
49470,157.5,0,0,1,10/04/16
49471,62,0,0,1,21/10/15
49472,62,0,0,1,21/10/15
49473,62,0,0,1,21/10/15
49474,62,0,0,1,21/10/15
49475,62,0,0,1,21/10/15
49476,62,0,0,1,21/10/15
49477,62,0,0,1,21/10/15
49478,115,0,0,1,12/04/16
49479,62,0,0,1,21/10/15
49480,65,0,0,1,18/01/16
49481,65,0,0,1,18/01/16
49482,65,0,0,1,18/01/16
49483,59,0,0,1,21/10/15
49484,65,0,0,1,18/01/16
49485,65,0,0,1,18/01/16
49486,57.5,0,0,1,18/01/16
49487,105.3,0,0,1,20/01/16
49488,130,0,0,1,12/04/16
49489,65,0,0,1,18/01/16
49490,65,0,0,1,18/01/16
49491,57.5,0,0,1,18/01/16
49492,65,0,0,1,18/01/16
49493,65,0,0,1,18/01/16
49494,65,0,0,1,18/01/16
49495,57.5,0,0,1,18/01/16
49496,102.3,0,1,1,8/03/16
49497,130,0,0,1,12/04/16
49498,130,0,0,1,12/04/16
49499,130,0,0,1,12/04/16
49500,65,0,0,1,18/01/16
49501,65,0,0,1,18/01/16
49502,65,0,0,1,18/01/16
49503,85.5,0,0,1,24/01/16
49504,130,0,0,1,12/04/16
49505,130,0,0,1,12/04/16
49506,65,0,0,1,18/01/16
49507,65,0,0,1,18/01/16
49508,57.5,0,0,1,18/01/16
49509,102.3,0,2,0,17/04/16
49510,130,0,0,1,12/04/16
49511,65,0,0,1,18/01/16
49512,65,0,0,1,18/01/16
49513,65,0,0,1,18/01/16
49514,65,0,0,1,18/01/16
49515,65,0,0,1,18/01/16
49516,65,0,0,1,18/01/16
49517,118.8,0,0,1,7/04/16
49518,96.3,0,0,1,8/04/16
49519,130,0,0,1,12/04/16
49520,65,0,0,1,18/01/16
49521,57.5,0,0,1,18/01/16
49522,168.3,0,0,1,30/01/16
49523,124,0,1,1,11/04/16
49524,130,0,0,1,12/04/16
49525,130,0,0,1,12/04/16
49526,65,0,0,1,18/01/16
49527,130,0,0,1,12/04/16
49528,105.3,0,0,1,18/01/16
49529,100.5,0,0,1,16/03/16
49530,130,0,0,1,12/04/16
49531,130,0,0,1,12/04/16
49532,65,0,0,1,18/01/16
49533,65,0,0,1,18/01/16
49534,65,0,0,1,18/01/16
49535,65,0,0,1,18/01/16
49536,130,0,0,1,12/04/16
49537,65,0,0,1,18/01/16
49538,65,0,0,1,18/01/16
49539,57.5,0,0,1,18/01/16
49540,105.3,0,2,1,9/03/16
49541,65,0,0,1,18/01/16
49542,65,0,0,1,18/01/16
49543,65,0,0,1,18/01/16
49544,80.75,0,0,1,28/03/16
49545,89.25,0,0,1,5/02/16
49546,156.5,0,0,1,4/04/16
49547,109.8,0,0,1,17/03/16
49548,109.8,0,0,1,14/03/16
49549,77.78,0,1,0,18/04/16
49550,112.2,0,0,1,12/03/16
49551,157.6,0,0,1,4/02/16
49552,130,0,0,1,12/04/16
49553,77.78,0,1,0,18/04/16
49554,96.53,0,0,1,27/03/16
49555,103.7,0,1,1,28/01/16
49556,87.55,0,0,1,27/03/16
49557,131.6,0,0,1,27/03/16
49558,132,0,3,1,30/03/16
49559,110.99,0,1,1,18/02/16
49560,110.99,0,1,1,15/03/16
49561,90.9,0,0,0,17/04/16
49562,85,0,0,1,1/04/16
49563,96.3,0,0,1,2/02/16
49564,115,0,0,1,20/03/16
49565,146,0,0,1,12/04/16
49566,105.3,0,0,1,2/04/16
49567,105,0,2,1,9/03/16
49568,85,0,0,1,1/04/16
49569,90.9,0,0,0,17/04/16
49570,85,0,0,1,11/04/16
49571,90.9,0,0,1,26/01/16
49572,85,0,0,1,1/04/16
49573,142,0,0,1,1/04/16
49574,142,0,0,1,8/04/16
49575,115,0,0,1,20/03/16
49576,142,0,0,1,20/03/16
49577,85,0,0,1,1/04/16
49578,85,0,0,1,1/04/16
49579,90.9,0,0,1,16/03/16
49580,85,0,0,1,1/04/16
49581,142,0,0,1,20/03/16
49582,85,0,0,1,1/04/16
49583,85,0,0,1,1/04/16
49584,127.8,0,0,1,4/04/16
49585,103.5,0,0,1,30/03/16
49586,90.9,0,0,0,17/04/16
49587,96.3,0,1,0,17/04/16
49588,106.33,0,0,1,4/04/16
49589,96.3,0,0,1,28/01/16
49590,154.33,0,0,1,4/04/16
49591,112.33,0,0,1,2/04/16
49592,124.8,0,0,1,12/04/16
49593,83.93,0,0,1,11/04/16
49594,112.33,0,0,1,2/04/16
49595,106.33,0,0,1,4/04/16
49596,76.5,0,0,1,8/03/16
49597,76.5,0,0,1,8/03/16
49598,76.5,0,0,1,1/02/16
49599,97.33,0,1,1,19/03/16
49600,95.2,0,1,0,19/04/16
49601,76.5,0,0,1,8/03/16
49602,76.5,0,1,1,8/03/16
49603,151.3,0,2,1,16/02/16
49604,89.25,0,0,0,19/04/16
49605,149.4,0,0,1,4/04/16
49606,85.85,0,0,1,8/01/16
49607,142.72,0,0,1,21/03/16
49608,90.95,0,0,1,4/04/16
49609,150.43,0,2,1,14/04/16
49610,141.46,0,0,1,21/03/16
49611,99.49,0,1,2,15/04/16
49612,77.35,0,0,1,16/01/16
49613,91.29,0,0,0,20/04/16
49614,65.83,0,2,0,17/04/16
49615,88.65,0,0,1,15/04/16
49616,105.3,0,0,1,14/03/16
49617,90.9,0,0,1,20/12/15
49618,147,0,1,1,16/04/16
49619,118.8,0,0,1,12/02/16
49620,152,0,0,1,10/04/16
49621,152,0,0,1,10/04/16
49622,104,0,0,1,10/04/16
49623,177.3,0,0,1,23/02/16
49624,81.3,0,0,0,19/04/16
49625,104,0,0,1,10/04/16
49626,127.67,0,0,1,12/04/16
49627,95.7,0,0,1,25/01/16
49628,165.9,0,0,1,4/04/16
49629,177.3,0,0,1,22/02/16
49630,85.5,0,1,1,2/04/16
49631,98,0,0,1,16/04/16
49632,118.8,0,0,1,11/04/16
49633,85.5,0,1,1,2/04/16
49634,127.67,0,0,1,4/04/16
49635,75.76,0,0,0,20/04/16
49636,107.95,0,0,1,13/04/16
49637,107.95,0,2,1,8/02/16
49638,76.5,0,0,1,20/03/16
49639,121.55,0,1,1,6/03/16
49640,75.76,0,0,0,20/04/16
49641,75.76,0,0,0,20/04/16
49642,190.58,0,0,1,1/04/16
49643,75.76,0,0,0,20/04/16
49644,110.5,0,2,1,21/03/16
49645,82.79,0,2,0,21/04/16
49646,68,0,1,0,21/04/16
49647,55.9,0,1,0,21/04/16
49648,109.37,0,0,1,6/03/16
49649,128.86,0,0,1,14/04/16
49650,228.6,0,0,1,31/03/16
49651,82.59,0,2,0,21/04/16
49652,94.5,0,0,0,18/04/16
49653,115.1,0,0,1,16/04/16
49654,89,0,0,1,12/04/16
49655,90,0,0,1,1/03/16
49656,114.3,0,0,1,12/03/16
49657,110,0,0,1,4/08/15
49658,110,0,0,1,4/08/15
49659,110,0,0,1,4/08/15
49660,110,0,0,1,4/08/15
49661,110,0,0,1,4/08/15
49662,110,0,0,1,4/08/15
49663,101,0,0,1,9/04/16
49664,137,0,0,1,12/04/16
49665,110,0,0,1,4/08/15
49666,110,0,0,1,4/08/15
49667,110,0,0,1,4/08/15
49668,110,0,0,1,4/08/15
49669,110,0,0,1,4/08/15
49670,110,0,0,1,4/08/15
49671,110,0,0,1,4/08/15
49672,110,0,0,1,4/08/15
49673,89,0,0,1,11/04/16
49674,100.8,0,0,1,19/03/16
49675,110,0,0,1,4/08/15
49676,110,0,0,1,4/08/15
49677,110,0,0,1,4/08/15
49678,110,0,0,1,4/08/15
49679,110,0,0,1,4/08/15
49680,110,0,0,1,4/08/15
49681,110,0,0,1,4/08/15
49682,110,0,0,1,4/08/15
49683,110,0,0,1,4/08/15
49684,110,0,0,1,4/08/15
49685,110,0,0,1,4/08/15
49686,110,0,0,1,4/08/15
49687,110,0,0,1,4/08/15
49688,110,0,0,1,4/08/15
49689,99.3,0,0,1,30/03/16
49690,89,0,0,1,7/04/16
49691,112.8,0,1,1,4/03/16
49692,85.5,0,0,1,30/03/16
49693,96.3,0,0,0,20/04/16
49694,93.9,0,0,1,21/03/16
49695,115.03,0,1,1,26/03/16
49696,97.63,0,1,1,26/03/16
49697,88.5,0,0,1,16/02/16
49698,96.3,0,0,0,20/04/16
49699,81.9,0,1,0,20/04/16
49700,89,0,0,1,14/04/16
49701,93.9,0,0,1,18/03/16
